Type,Date,Candle_Percent,MACD_Percent,Asset_Tag
CBullDivg_Classic,2004-02-26 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2004-03-24 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2004-03-24 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2004-05-17 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2004-05-17 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2004-07-16 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2004-07-28 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2004-08-06 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2004-08-09 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2004-08-09 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2004-08-12 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2004-08-12 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2004-08-13 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2005-01-11 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2005-01-11 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2005-01-13 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2005-01-28 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2005-03-29 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2005-04-04 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2005-04-18 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2005-04-18 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2005-04-20 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2005-04-20 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2005-04-29 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2005-07-06 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2005-07-06 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2005-07-07 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2005-08-12 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2005-09-22 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2005-10-19 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2006-02-03 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2006-02-07 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2006-02-07 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2006-02-10 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2006-06-08 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2006-06-14 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2006-06-14 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2007-01-10 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2007-03-13 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2007-03-13 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2007-03-14 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2007-05-30 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2007-06-13 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2007-06-26 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2007-06-26 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2007-06-27 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2007-08-03 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2007-08-03 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2007-08-10 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2007-08-10 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2007-08-16 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2007-08-16 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2007-11-05 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Hidden,2007-11-05 00:00:00+00:00,0.4,3.25,sp500_stooq
CBullDivg_Classic,2007-11-15 00:00:00+00:00,0.4,3.25,sp500_stooq
