Type,Date,Candle_Percent,MACD_Percent
CBullDivg_Classic,2020-08-27 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-08-27 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-09-05 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-09-05 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-09-23 20:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-09-23 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-10-08 08:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-10-08 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-10-15 08:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-10-15 08:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-10-16 20:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-10-26 16:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-10-26 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-12-11 08:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-12-11 08:00:00+00:00,0.1,3.25
CBullDivg_Classic,2020-12-24 00:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2020-12-24 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-01-20 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-01-24 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-02-15 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-02-26 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-02-26 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-02-28 04:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-02-28 04:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-02-28 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-02-28 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-02-28 16:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-03-25 00:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-03-25 12:00:00+00:00,0.1,3.25
CBullDivg_Hidden,2021-03-25 12:00:00+00:00,0.1,3.25
CBullDivg_Classic,2021-04-05 04:00:00+00:00,0.1,3.25
